smiles,DM,FHM,LP,PKs,RT,SHM,TP,group
CON=C1CC2(CC3CC(CC=C(C)CC(C)C=CC=C4COC5C(O)C(C)=CC(C(=O)O3)C45O)O2)OC(C(C)=CC(C)C)C1C,1,,,,,,,training
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c(Cl)c1,1,,,,,,,training
Clc1ccccc1,0,1,1,,1,0,1,training
O=[N+]([O-])c1cccc(Br)c1,,,,,,,1,test
O=C(c1ccccc1)c1ccc(O)cc1,,,,,,,1,valid
COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,0,,0,,0,0,,training
CCCCCCC(C)=O,,0,,,,,1,training
NC(CO)CO,,,,,,,0,training
CCOC(=O)C(C)Cl,0,,,,,,1,training
Cc1ccccc1,,0,0,1,1,0,1,training
O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,0,,,1,,,,training
CC(C)(C)C(O)C(Cc1ccc(Cl)cc1Cl)n1cncn1,,,,,0,,,training
CSSCc1ccco1,1,,,,,,,training
O=[N+]([O-])c1cc(Cl)c(Cl)cc1[N+](=O)[O-],,,,,,,1,test
